scenario,t,agent,queue_length,average_waiting_time,open_counters,reward,cumulative_reward
medium,22,baseline,6.5,1.8967504950030103,2.0,-3.94675049500301,-124.42966468665463
medium,23,baseline,3.5,1.6574003960024082,2.0,-3.107400396002408,-127.53706508265704
medium,24,baseline,10.0,2.1259203168019267,1.0,-4.525920316801927,-132.06298539945897
medium,25,baseline,13.5,2.7807362534415416,1.0,-5.880736253441541,-137.9437216529005
medium,26,baseline,18.0,3.6645890027532335,1.0,-7.614589002753233,-145.55831065565374
medium,27,baseline,19.0,3.6916712022025866,2.0,-8.241671202202587,-153.79998185785632
medium,28,baseline,16.5,3.3933369617620692,3.0,-7.74333696176207,-161.5433188196184
medium,29,baseline,11.5,2.9446695694096556,4.0,-6.644669569409656,-168.18798838902805
medium,30,baseline,8.5,2.5257356555277246,4.0,-5.675735655527725,-173.86372404455577
medium,31,baseline,0.0,2.02058852442218,4.0,-3.42058852442218,-177.28431256897795
medium,32,baseline,4.5,1.736470819537744,3.0,-3.7364708195377436,-181.0207833885157
medium,33,baseline,5.5,1.6091766556301954,2.0,-3.4091766556301955,-184.4299600441459
medium,34,baseline,5.5,1.5073413245041565,2.0,-3.3573413245041563,-187.78730136865005
medium,35,baseline,1.5,1.2658730596033254,2.0,-2.2658730596033254,-190.05317442825339
medium,36,baseline,4.0,1.3326984476826604,1.0,-2.5326984476826606,-192.58587287593605
medium,37,baseline,4.5,1.4261587581461286,1.0,-2.6761587581461286,-195.26203163408218
medium,38,baseline,8.0,1.780927006516903,1.0,-3.730927006516903,-198.99295864059908
medium,39,baseline,15.5,2.6647416052135227,1.0,-6.164741605213522,-205.1577002458126
medium,40,baseline,16.5,2.791793284170818,2.0,-6.8417932841708184,-211.99949352998343
medium,41,baseline,15.0,2.6334346273366545,3.0,-6.683434627336654,-218.68292815732008
medium,42,baseline,16.0,2.4267477018693233,4.0,-7.026747701869324,-225.7096758591894
medium,43,baseline,8.5,2.077398161495459,5.0,-5.527398161495459,-231.23707402068484
medium,44,baseline,3.0,1.7099185291963672,5.0,-4.109918529196367,-235.3469925498812
medium,45,baseline,0.0,1.3679348233570938,4.0,-2.8179348233570938,-238.1649273732383
medium,46,baseline,1.5,1.1343478586856752,3.0,-2.484347858685675,-240.64927523192398
medium,47,baseline,6.5,1.1674782869485403,2.0,-3.1674782869485405,-243.81675351887253
medium,48,baseline,13.5,1.4739826295588323,2.0,-4.923982629558832,-248.74073614843135
medium,49,baseline,14.5,1.7591861036470657,2.0,-5.359186103647066,-254.09992225207841
medium,50,baseline,14.5,1.9873488829176527,2.0,-5.587348882917653,-259.6872711349961
medium,51,baseline,12.5,2.089879106334122,2.0,-5.289879106334122,-264.9771502413302
medium,52,baseline,10.5,2.091903285067298,2.0,-4.891903285067299,-269.8690535263975
medium,53,baseline,10.5,2.0935226280538384,2.0,-4.893522628053839,-274.7625761544514
medium,54,baseline,15.5,2.294818102443071,2.0,-6.094818102443071,-280.85739425689445
medium,55,baseline,13.0,2.182521148621124,3.0,-5.882521148621124,-286.7399154055156
medium,56,baseline,10.5,2.026016918896899,3.0,-5.226016918896899,-291.9659323244125
medium,57,baseline,6.0,1.7808135351175194,3.0,-4.030813535117519,-295.99674585953005
medium,58,baseline,4.5,1.5446508280940154,3.0,-3.494650828094015,-299.49139668762405
medium,59,baseline,8.5,1.5757206624752125,2.0,-4.025720662475212,-303.5171173500993
medium,60,baseline,10.5,1.6805765299801703,2.0,-4.530576529980171,-308.04769388007946
medium,61,baseline,6.5,1.6044612239841363,2.0,-3.604461223984136,-311.6521551040636
medium,62,baseline,8.5,1.6235689791873091,2.0,-4.023568979187309,-315.6757240832509
medium,63,baseline,13.5,1.8388551833498474,2.0,-5.238855183349847,-320.91457926660075
medium,64,baseline,13.5,2.0110841466798783,2.0,-5.411084146679879,-326.3256634132806
medium,65,baseline,12.5,2.1088673173439028,2.0,-5.3088673173439025,-331.63453073062453
medium,66,baseline,11.5,2.1470938538751225,2.0,-5.147093853875123,-336.78162458449964
medium,67,baseline,12.5,2.217675083100098,2.0,-5.417675083100098,-342.19929966759975
medium,68,baseline,9.5,2.1541400664800787,2.0,-4.754140066480079,-346.95343973407984
medium,69,baseline,13.5,2.2633120531840634,2.0,-5.663312053184064,-352.6167517872639
medium,70,baseline,13.5,2.3506496425472507,2.0,-5.750649642547251,-358.3674014298112
medium,71,baseline,12.5,2.380519714037801,2.0,-5.580519714037801,-363.947921143849
medium,72,baseline,12.5,2.4044157712302408,2.0,-5.604415771230241,-369.55233691507925
medium,73,baseline,17.5,2.6235326169841926,2.0,-6.823532616984193,-376.37586953206346
medium,74,baseline,15.0,2.498826093587354,3.0,-6.598826093587354,-382.97469562565084
medium,75,baseline,9.0,2.1790608748698834,4.0,-5.379060874869883,-388.3537565005207
medium,76,baseline,12.0,1.983248699895907,4.0,-5.833248699895907,-394.18700520041665
medium,77,baseline,9.0,1.7665989599167256,4.0,-4.966598959916725,-399.1536041603334
medium,78,baseline,6.0,1.5332791679333804,4.0,-4.133279167933381,-403.28688332826675
medium,79,baseline,1.0,1.2466233343467044,4.0,-2.8466233343467042,-406.13350666261346
medium,80,baseline,0.5,1.0106320008106968,3.0,-2.2106320008106963,-408.34413866342413
medium,81,baseline,0.0,0.8085056006485575,2.0,-1.5085056006485575,-409.8526442640727
medium,82,baseline,5.5,1.086804480518846,1.0,-2.536804480518846,-412.38944874459156
medium,83,baseline,7.0,1.4294435844150768,1.0,-3.229443584415077,-415.61889232900666
medium,84,baseline,14.5,2.3035548675320614,1.0,-5.553554867532062,-421.1724471965387
medium,85,baseline,15.0,3.0428438940256495,1.0,-6.392843894025649,-427.56529109056436
medium,86,baseline,18.0,3.15427511522052,2.0,-7.50427511522052,-435.0695662057849
medium,87,baseline,16.5,2.963420092176416,3.0,-7.3134200921764165,-442.38298629796134
medium,88,baseline,19.5,2.760736073741133,4.0,-8.060736073741133,-450.44372237170245
medium,89,baseline,12.0,2.4005888589929065,5.0,-6.550588858992906,-456.99431123069536
medium,90,baseline,0.5,1.9284710871943254,5.0,-3.8284710871943255,-460.8227823178897
medium,91,baseline,0.0,1.5427768697554605,4.0,-2.99277686975546,-463.81555918764514
medium,92,baseline,0.0,1.2342214958043685,3.0,-2.2842214958043683,-466.0997806834495
medium,93,baseline,0.0,0.9873771966434948,2.0,-1.6873771966434947,-467.787157880093
medium,94,baseline,0.0,0.7899017573147958,1.0,-1.1399017573147958,-468.9270596374078
medium,95,baseline,0.0,0.6319214058518368,1.0,-0.9819214058518367,-469.90898104325964
medium,96,baseline,4.5,0.8655371246814694,1.0,-2.1155371246814694,-472.0245181679411
medium,97,baseline,6.0,1.1724296997451755,1.0,-2.7224296997451756,-474.7469478676863
medium,98,baseline,5.5,1.3779437597961404,1.0,-2.8779437597961404,-477.62489162748244
medium,99,baseline,5.0,1.5023550078369126,1.0,-2.8523550078369126,-480.4772466353194
medium,100,baseline,8.5,1.8818840062695301,1.0,-3.98188400626953,-484.4591306415889
medium,1,dqn,0.5,0.013333333333333334,3.0,-1.2133333333333334,-1.2133333333333334
medium,2,dqn,0.0,0.010666666666666668,4.0,-1.4106666666666665,-2.6239999999999997
medium,3,dqn,0.0,0.008533333333333335,5.0,-1.7585333333333333,-4.382533333333333
medium,4,dqn,0.0,0.006826666666666668,6.0,-2.106826666666666,-6.48936
medium,5,dqn,0.0,0.005461333333333335,7.0,-2.455461333333333,-8.944821333333334
medium,6,dqn,0.0,0.0043690666666666685,8.0,-2.8043690666666663,-11.7491904
medium,7,dqn,0.0,0.003495253333333335,8.0,-2.8034952533333333,-14.552685653333333
medium,8,dqn,0.0,0.0027962026666666683,8.0,-2.8027962026666664,-17.355481855999997
medium,9,dqn,0.0,0.0022369621333333347,8.0,-2.802236962133333,-20.15771881813333
medium,10,dqn,0.0,0.0017895697066666679,8.0,-2.8017895697066666,-22.959508387839996
medium,11,dqn,0.0,0.0014316557653333345,8.0,-2.801431655765333,-25.76094004360533
medium,12,dqn,0.0,0.0011453246122666676,8.0,-2.8011453246122664,-28.5620853682176
medium,13,dqn,0.0,0.0009162596898133341,8.0,-2.800916259689813,-31.363001627907412
medium,14,dqn,0.0,0.0007330077518506673,8.0,-2.8007330077518504,-34.16373463565926
medium,15,dqn,0.0,0.0005864062014805339,8.0,-2.8005864062014805,-36.96432104186074
medium,16,dqn,0.0,0.00046912496118442715,8.0,-2.800469124961184,-39.764790166821925
medium,17,dqn,0.0,0.0003752999689475417,8.0,-2.8003752999689473,-42.56516546679087
medium,18,dqn,0.0,0.0003002399751580334,8.0,-2.800300239975158,-45.36546570676603
medium,19,dqn,0.0,0.00024019198012642675,8.0,-2.800240191980126,-48.165705898746154
medium,20,dqn,0.0,0.0001921535841011414,8.0,-2.800192153584101,-50.96589805233025
medium,21,dqn,0.0,0.00015372286728091312,8.0,-2.8001537228672806,-53.76605177519753
medium,22,dqn,0.0,0.0001229782938247305,8.0,-2.8001229782938246,-56.56617475349135
medium,23,dqn,0.0,9.838263505978442e-05,8.0,-2.8000983826350594,-59.36627313612641
medium,24,dqn,0.0,7.870610804782754e-05,8.0,-2.8000787061080477,-62.166351842234455
medium,25,dqn,0.0,6.296488643826203e-05,8.0,-2.800062964886438,-64.9664148071209
